sequence_name	AHR	AIRE	ANHX	ARID5B	BACH/NFE	BCL	CDC5L	CEBPA	CREB	CREB3L/XBP	CTCF	DMRT/DMRTA	E2F	E2F/TFDP	EBF	EGR	ESR/ESRRA	ESRRA/NR5A	ETS	FEZF	FOX	FOXH	FOXJ	GATA	GCM	GFI	GLI/GLIS/ZIC	HMBOX	HOX	HOXB/PBX	HSF	IKZF	INSM	IRF/STAT	IRX	LCORL	LEF/TCF	MAFF/MAFG	MAZ	MBD	MBNL	MECOM	MEF2	MEIS/PBX	MTF	MYB	MYRF	MZF	MZF/YY	NEUROG/OLIG	NFATC	NFIC/NFIX	NFKB/RELA	NFYA/NFYB	NHLH/TFAP	NR	NR1I/VDR	NRF	OLIG/ZBTB	OSR	PAX	PLAG	POU	PRDM	REST	RFX/MXI	RORC/RORA	RUNX	SCRT	SIX/ZNF	SMAD	SOX	SP/KLF	SPDEF	SREBF	SRF	STAT/STAT5A	TBX	TEAD	TFAP	TFCP	THAP	TOPORS	TP	USF/BHLHE	YBX	YY	ZBTB	ZIK	ZIM	ZKSCAN	ZNF	ZSCAN	ZSCAN5C
H004_3LTR-Tail_SGA17_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA20_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA4_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA5_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA6_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA7_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA8_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_3LTR-Tail_SGA9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA10_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA12_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA13_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA14_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	32	1	0
H004_5LTR_SGA15_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA16_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA17_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA19_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA20_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA21_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA22_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA23_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA24_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA25_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	0	0
H004_5LTR_SGA26_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	33	1	0
H004_5LTR_SGA3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA4_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H004_5LTR_SGA7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	33	1	0
H004_5LTR_SGA8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	30	1	0
H004_5LTR_SGA9_(reversed)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	1	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	33	1	0
H009_3LTR_SGA_14_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_19_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_4_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	30	1	0
H009_3LTR_SGA_8_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_21_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_22_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_23_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	30	1	0
H009_3LTR_SGA_Set2_24_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_27_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	29	1	0
H009_3LTR_SGA_Set2_28_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	30	1	0
H009_3LTR_SGA_Set2_29_(reversed)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	32	1	0
H009_3LTR_SGA_Set2_30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	30	1	0
